"catalog_id,title,writers,controlled_percentage"
"CAT-001,Neon Dreams,Alex Park,100"
"CAT-002,Midnight in Tokyo,Alex Park; Jane Miller,50"
"CAT-003,Shattered Glass,Jane Miller,100"
"CAT-004,Desert Rain,Leyla Ademi,100"
"CAT-005,Ocean Avenue,Leyla Ademi,50"
"CAT-006,Golden Gate,Rachel Davis,100"
"CAT-007,Velocity,Paul Walker,100"
"CAT-008,Silent Echo,Elena Black,100"
"CAT-009,Blue Monday,George Sumner,33.33"
"CAT-010,Last Stop,John Doe,100"
"CAT-011,Electric Youth,Alex Park,100"
"CAT-012,Neon Nights,Jane Miller,50"
"CAT-013,The Glass House,Sarah Stone; Kevin Webb,100"
"CAT-014,Rain on the Parade,Leyla Ademi,100"
"CAT-015,Pacific Coast Highway,Rachel Davis; Paul Walker,50"
